,pointid_in_layer,layer_name,lclass,index,geometry,id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDBI,NDWI,NDVI,BSI
0,76,SavannahGrassland,2,0,POINT (495249.7029113577 1271395.9161788893),3446,0.038866665214300156,0.05299999937415123,0.06599999964237213,0.08569999784231186,0.10538750141859055,0.1384437531232834,0.15226249396800995,0.17599999904632568,0.18513749539852142,0.21712499856948853,0.21053749322891235,0.14630000293254852,0.08935096859931946,-0.4545454680919647,0.3450515866279602,0.006507592275738716
1,676,RoadsAndPavements,1,1,POINT (479411.4677067574 1266485.3442227507),3346,0.08639582991600037,0.07720000296831131,0.07680000364780426,0.08349999785423279,0.12668749690055847,0.13695624470710754,0.14652499556541443,0.09589999914169312,0.14761875569820404,0.22596874833106995,0.19013124704360962,0.1678375005722046,0.32944390177726746,-0.11059641093015671,0.06911928951740265,0.1843322068452835
2,502,SavannahGrassland,2,2,POINT (489732.5991592545 1289140.9287508756),3872,0.04740624874830246,0.06620000302791595,0.09300000220537186,0.0868000015616417,0.13171249628067017,0.21295000612735748,0.24764375388622284,0.27000001072883606,0.2889062464237213,0.3032124936580658,0.24383750557899475,0.1456875056028366,-0.050915900617837906,-0.4876033067703247,0.5134528875350952,-0.18237169086933136
3,562,Water,4,3,POINT (494832.9272664456 1269176.5515062097),4632,0.05217708274722099,0.07280000299215317,0.08940000087022781,0.06719999760389328,0.05667499825358391,0.025418749079108238,0.02668124996125698,0.019999999552965164,0.016337500885128975,0.01562916673719883,0.01061249990016222,0.010118749924004078,-0.30665576457977295,0.6343693137168884,-0.5412843823432922,-0.09100260585546494
4,118,Forest,0,4,POINT (478477.77171292854 1271472.5600853963),2088,0.04216458275914192,0.04560000076889992,0.06300000101327896,0.047200001776218414,0.09764999896287918,0.25865626335144043,0.3246062397956848,0.3336000144481659,0.34693750739097595,0.3357395827770233,0.19473125040531158,0.1015625,-0.2628440856933594,-0.6822995543479919,0.7521008253097534,-0.43646565079689026
5,257,SavannahGrassland,2,5,POINT (485700.99397109734 1272967.2530503816),3627,0.0737638920545578,0.0820000022649765,0.09539999812841415,0.11479999870061874,0.15986250340938568,0.24363750219345093,0.28085625171661377,0.2858000099658966,0.3091062605381012,0.3093465268611908,0.2916562557220459,0.19616250693798065,0.010141461156308651,-0.4994753301143646,0.42685970664024353,-0.08373694866895676
6,607,AgriculturalLand,5,6,POINT (482580.25429459405 1282789.9460344114),607,0.06421041488647461,0.0674000009894371,0.09560000151395798,0.05700000002980232,0.13469375669956207,0.3714437484741211,0.41836875677108765,0.45840001106262207,0.44526249170303345,0.40106457471847534,0.2538187503814697,0.12830625474452972,-0.287244975566864,-0.6548736691474915,0.7788125872612,-0.47882261872291565
7,431,BareLand,6,7,POINT (485751.96732764447 1270237.4651344235),1131,0.11791597306728363,0.17479999363422394,0.22859999537467957,0.29499998688697815,0.33922499418258667,0.35311248898506165,0.37084999680519104,0.33880001306533813,0.36412501335144043,0.3421708345413208,0.4392625093460083,0.39144375920295715,0.12911880016326904,-0.19421924650669098,0.06910697370767593,0.14403121173381805
8,264,AgriculturalLand,5,8,POINT (482433.6437308792 1283379.3526006152),264,0.059940971434116364,0.06549999862909317,0.11020000278949738,0.06480000168085098,0.16366875171661377,0.32958126068115234,0.36624374985694885,0.3720000088214874,0.38019999861717224,0.3394402861595154,0.26899999380111694,0.15604375302791595,-0.1606864333152771,-0.5429282188415527,0.7032967209815979,-0.3290928900241852
9,418,SavannahGrassland,2,9,POINT (482656.5738930013 1286466.787956642),3788,0.09325416386127472,0.08420000225305557,0.10620000213384628,0.10189999639987946,0.18174375593662262,0.2679624855518341,0.2970062494277954,0.3156000077724457,0.3289875090122223,0.31121665239334106,0.3059937357902527,0.21494999527931213,-0.015454225242137909,-0.49644380807876587,0.5118562579154968,-0.1157468780875206
10,455,Building,3,10,POINT (485184.33785091067 1285802.8494052354),1725,0.12549236416816711,0.11760000139474869,0.1225999966263771,0.1371999979019165,0.1623000055551529,0.16449999809265137,0.16856874525547028,0.14659999310970306,0.15947499871253967,0.2062986046075821,0.13619999587535858,0.1255750060081482,-0.03677510470151901,-0.08915304392576218,0.03312191739678383,-0.0027041130233556032
11,59,RoadsAndPavements,1,11,POINT (483159.27297862974 1276549.0803289318),2729,0.07838333398103714,0.10719999670982361,0.1136000007390976,0.1151999980211258,0.12504374980926514,0.13411875069141388,0.1436062455177307,0.13120000064373016,0.14726249873638153,0.19811250269412994,0.18826250731945038,0.15984374284744263,0.1786203384399414,-0.07189542800188065,0.06493506580591202,0.07136857509613037
12,116,Forest,0,12,POINT (478412.6739905964 1271422.9591801288),2086,0.043334029614925385,0.04399999976158142,0.0674000009894371,0.043299999088048935,0.1051499992609024,0.2695687413215637,0.3274500072002411,0.32120001316070557,0.3561062514781952,0.34517917037010193,0.2136312574148178,0.1159062534570694,-0.20112653076648712,-0.6531137228012085,0.762414276599884,-0.3928132951259613
13,671,SavannahGrassland,2,13,POINT (476601.7096601884 1265707.2843085683),4041,0.05416597053408623,0.04769999906420708,0.07190000265836716,0.051500000059604645,0.11891874670982361,0.27746251225471497,0.3480812609195709,0.37720000743865967,0.37130001187324524,0.31482985615730286,0.20810000598430634,0.1274312436580658,-0.2889116704463959,-0.6798040270805359,0.7597387433052063,-0.40734684467315674
14,435,AgriculturalLand,5,14,POINT (476584.5623744306 1277445.377714925),435,0.11821874976158142,0.12380000203847885,0.16419999301433563,0.20200000703334808,0.2602437436580658,0.29078125953674316,0.3190374970436096,0.3248000144958496,0.34331250190734863,0.3648604154586792,0.42966875433921814,0.3509812355041504,0.13899680972099304,-0.3284253478050232,0.23310554027557373,0.10421645641326904
15,257,Building,3,15,POINT (486193.8854128616 1276263.2970007963),1527,0.077847920358181,0.09220000356435776,0.12439999729394913,0.2513999938964844,0.24609999358654022,0.2917250096797943,0.29736876487731934,0.3255999982357025,0.2933562397956848,0.292068749666214,0.31155624985694885,0.2954624891281128,-0.02204129658639431,-0.4471110999584198,0.12859618663787842,0.13379031419754028
